產品編號,品名,口味/顏色,大小,規格-數量,品牌,進貨人/廠商,規格,計量單位,標準進價,售價A,售價B,建議售價,主類別,次類別,內部類別,備註,,(廠商名稱),品名規格,,
000006032,水晶肥皂,南僑,,,小張-張肇武,小張,(200g*4個入)*20封*箱,箱,0,0,0,0,其他,其它,,,,小張-張肇武,水晶肥皂/南僑/小張/(200g*4個入)*20封*箱***,,
000006033,水晶肥皂,南僑,,,小張-張肇武,小張,(200g*4個入)*封,大封,0,0,0,0,其他,其它,,,,小張-張肇武,水晶肥皂/南僑/小張/(200g*4個入)*封***,,
000006035,康寶雞湯塊,小張,,,小張-張肇武,小張,大盒,大盒,282,320,320,340,調味料,調味粉,,,,小張-張肇武,康寶雞湯塊/小張/12小盒入*大盒***,,
000006036,小白兔,暖暖包,,,小張-張肇武,小張,24包入*箱,箱,2280,0,0,0,其他,其它,,,,小張-張肇武,小白兔/暖暖包/小張/24包入*箱,,
000006037,小白兔,暖暖包,,,小張-張肇武,小張,24包入*包,包,95,110,110,110,其他,其它,,,,小張-張肇武,小白兔/暖暖包/小張/24包入*包,,
000006038,香菇素蠔油,愛之味,,,小張-張肇武,小張,12罐入*箱,箱,660,700,720,740,其他,素蠔油,,,,小張-張肇武,香菇素蠔油/愛之味/小張/12罐入*箱,,
000006039,香菇素蠔油,愛之味,,,小張-張肇武,小張,12罐入*罐,罐,55,60,60,65,其他,素蠔油,,,,小張-張肇武,香菇素蠔油/愛之味/小張/12罐入*罐,,
000006040,得意廚房紙巾,小張,,,小張-張肇武,小張,箱,箱,624,700,700,720,其他,其它,,,,小張-張肇武,得意廚房紙巾/小張/48入*箱,,
000006041,甜辣醬,愛之味,,,小張-張肇武,愛之味,箱,箱,1128,0,0,0,調味料,醬料,,,,小張-張肇武,甜辣醬/愛之味/小張48瓶入*箱,,
000006042,甜辣醬,愛之味,,,小張-張肇武,愛之味,瓶,瓶,23.5,0,0,0,調味料,醬料,,,,小張-張肇武,甜辣醬/愛之味/小張48瓶入*瓶,,
000006043,雪月仙貝,小張,,,小張-張肇武,小張,箱,箱,390,440,440,450,其他,零嘴,,,,小張-張肇武,雪月仙貝/小張/10包入*箱***,,
000006044,雪月仙貝,小張,,,小張-張肇武,小張,包,包,39,45,45,50,其他,零嘴,,,,小張-張肇武,雪月仙貝/小張/10包入*包***,,
000006045,Lux洗髮乳,小張,,,小張-張肇武,小張,12入*箱,箱,240,0,0,0,其他,其它,,,,小張-張肇武,Lux洗髮乳/小張/200ml*12入*箱,,
000006046,Lux洗髮乳,小張,,,小張-張肇武,小張,12入*瓶,瓶,20,0,0,0,其他,其它,,,,小張-張肇武,Lux洗髮乳/小張/200ml*12入*瓶,,
000006047,情人廚房紙巾,小張,,,小張-張肇武,小張,箱,箱,576,650,0,670,其他,其它,,,,小張-張肇武,情人廚房紙巾/小張/48入*箱,,
000006048,沙茶醬,牛頭,,,小張-張肇武,小張,127g*24入*罐,罐,40,45,45,47,其他,沙茶醬,,,,小張-張肇武,沙茶醬/牛頭/小張/127g*24入*罐,,
000006049,沙茶醬,牛頭,,,小張-張肇武,小張,127g*24入*箱,箱,960,1000,1000,1030,其他,沙茶醬,,,,小張-張肇武,沙茶醬/牛頭/小張/127g*24入*箱,,
000006050,沙茶醬,牛頭2號,,,小張-張肇武,小張,737g*罐,罐,190,205,210,220,其他,沙茶醬,,,,小張-張肇武,沙茶醬/牛頭2號/小張/737g*罐,,
000006051,沙茶醬,牛頭2號,,,小張-張肇武,小張,737g*12入*箱,箱,2280,2360,2380,2400,其他,沙茶醬,,,,小張-張肇武,沙茶醬/牛頭2號/小張/737g*12入*箱,,
000028001,蚵仔麵線,手工切,,,金財億,金財億,10斤*包,包,450,460,470,480,其他,麵線,,,,金財億,蚵仔麵線/手工切/金財億/10斤*包,,
000028002,麵線,盤狀,,,金財億,金財億,20斤*盤,盤,820,880,880,900,其他,麵線,,,,金財億,麵線/盤狀/金財億/20斤*盤,,
000028003,麵線,盤狀,,,金財億,盤狀,盤,盤,615,650,660,680,其他,麵線,,,,金財億,麵線/盤狀/金財億15斤*盤,,
000028004,麵線,祝壽壽麵(1束)金財億,,,金財億,祝壽壽麵(1束)金財億,箱,箱,310,350,350,360,其他,麵線,,,,金財億,麵線/祝壽壽麵(1束)金財億/20入*箱,,
000028005,麵線,盤狀,,,金財億,金財億,金財億*10入*盤,盤,480,510,520,520,其他,麵線,,,,金財億,麵線/盤狀/金門/金財億/10入*盤,,
000028006,麵線,祝壽壽麵(2束)金財億,,,金財億,祝壽壽麵(2束)金財億,包,包,16,20,20,25,其他,麵線,,,,金財億,麵線/祝壽壽麵(2束)金財億/20入*包,,
000028007,麵線,祝壽壽麵(3束)金財億,,,金財億,祝壽壽麵(3束)金財億,包,包,16,20,20,25,其他,麵線,,,,金財億,麵線/祝壽壽麵(3束)金財億/20入*包,,
000028008,麵線,祝壽壽麵(3束)金財億,,,金財億,祝壽壽麵(3束)金財億,箱,箱,320,360,360,380,其他,麵線,,,,金財億,麵線/祝壽壽麵(3束)金財億/20入*箱,,
